group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Mysql repo reading with redis cache layer.,,,,,1521398.0,ns,51
Mysql repo reading with redis cache layer.,,,,,2095102.0,ns,102
Mysql repo reading with redis cache layer.,,,,,3062592.0,ns,153
Mysql repo reading with redis cache layer.,,,,,3971532.0,ns,204
Mysql repo reading with redis cache layer.,,,,,7057206.0,ns,255
Mysql repo reading with redis cache layer.,,,,,7596839.0,ns,306
Mysql repo reading with redis cache layer.,,,,,8871007.0,ns,357
Mysql repo reading with redis cache layer.,,,,,10289959.0,ns,408
Mysql repo reading with redis cache layer.,,,,,9013947.0,ns,459
Mysql repo reading with redis cache layer.,,,,,11336372.0,ns,510
Mysql repo reading with redis cache layer.,,,,,13068583.0,ns,561
Mysql repo reading with redis cache layer.,,,,,14924194.0,ns,612
Mysql repo reading with redis cache layer.,,,,,16522746.0,ns,663
Mysql repo reading with redis cache layer.,,,,,18120341.0,ns,714
Mysql repo reading with redis cache layer.,,,,,15691413.0,ns,765
Mysql repo reading with redis cache layer.,,,,,15531973.0,ns,816
Mysql repo reading with redis cache layer.,,,,,16692597.0,ns,867
Mysql repo reading with redis cache layer.,,,,,18148038.0,ns,918
Mysql repo reading with redis cache layer.,,,,,18618234.0,ns,969
Mysql repo reading with redis cache layer.,,,,,19955417.0,ns,1020
Mysql repo reading with redis cache layer.,,,,,20805171.0,ns,1071
Mysql repo reading with redis cache layer.,,,,,21639364.0,ns,1122
Mysql repo reading with redis cache layer.,,,,,25389736.0,ns,1173
Mysql repo reading with redis cache layer.,,,,,25632074.0,ns,1224
Mysql repo reading with redis cache layer.,,,,,24257860.0,ns,1275
Mysql repo reading with redis cache layer.,,,,,25444335.0,ns,1326
Mysql repo reading with redis cache layer.,,,,,26611352.0,ns,1377
Mysql repo reading with redis cache layer.,,,,,27302939.0,ns,1428
Mysql repo reading with redis cache layer.,,,,,28406901.0,ns,1479
Mysql repo reading with redis cache layer.,,,,,31714601.0,ns,1530
Mysql repo reading with redis cache layer.,,,,,30154023.0,ns,1581
Mysql repo reading with redis cache layer.,,,,,31102291.0,ns,1632
Mysql repo reading with redis cache layer.,,,,,33949893.0,ns,1683
Mysql repo reading with redis cache layer.,,,,,35589169.0,ns,1734
Mysql repo reading with redis cache layer.,,,,,34934186.0,ns,1785
Mysql repo reading with redis cache layer.,,,,,44506917.0,ns,1836
Mysql repo reading with redis cache layer.,,,,,51775506.0,ns,1887
Mysql repo reading with redis cache layer.,,,,,44776574.0,ns,1938
Mysql repo reading with redis cache layer.,,,,,37549002.0,ns,1989
Mysql repo reading with redis cache layer.,,,,,40167343.0,ns,2040
Mysql repo reading with redis cache layer.,,,,,41298340.0,ns,2091
Mysql repo reading with redis cache layer.,,,,,41971244.0,ns,2142
Mysql repo reading with redis cache layer.,,,,,41497790.0,ns,2193
Mysql repo reading with redis cache layer.,,,,,43246942.0,ns,2244
Mysql repo reading with redis cache layer.,,,,,43868543.0,ns,2295
Mysql repo reading with redis cache layer.,,,,,55098171.0,ns,2346
Mysql repo reading with redis cache layer.,,,,,56873841.0,ns,2397
Mysql repo reading with redis cache layer.,,,,,47663612.0,ns,2448
Mysql repo reading with redis cache layer.,,,,,48146476.0,ns,2499
Mysql repo reading with redis cache layer.,,,,,48022249.0,ns,2550
Mysql repo reading with redis cache layer.,,,,,49172234.0,ns,2601
Mysql repo reading with redis cache layer.,,,,,50037163.0,ns,2652
Mysql repo reading with redis cache layer.,,,,,56795779.0,ns,2703
Mysql repo reading with redis cache layer.,,,,,52866960.0,ns,2754
Mysql repo reading with redis cache layer.,,,,,55598380.0,ns,2805
Mysql repo reading with redis cache layer.,,,,,54610963.0,ns,2856
Mysql repo reading with redis cache layer.,,,,,72523872.0,ns,2907
Mysql repo reading with redis cache layer.,,,,,61235449.0,ns,2958
Mysql repo reading with redis cache layer.,,,,,60330234.0,ns,3009
Mysql repo reading with redis cache layer.,,,,,59683169.0,ns,3060
Mysql repo reading with redis cache layer.,,,,,60861034.0,ns,3111
Mysql repo reading with redis cache layer.,,,,,61062410.0,ns,3162
Mysql repo reading with redis cache layer.,,,,,60932173.0,ns,3213
Mysql repo reading with redis cache layer.,,,,,62758210.0,ns,3264
Mysql repo reading with redis cache layer.,,,,,63466388.0,ns,3315
Mysql repo reading with redis cache layer.,,,,,65218690.0,ns,3366
Mysql repo reading with redis cache layer.,,,,,64782164.0,ns,3417
Mysql repo reading with redis cache layer.,,,,,66451019.0,ns,3468
Mysql repo reading with redis cache layer.,,,,,66434708.0,ns,3519
Mysql repo reading with redis cache layer.,,,,,69598062.0,ns,3570
Mysql repo reading with redis cache layer.,,,,,72402437.0,ns,3621
Mysql repo reading with redis cache layer.,,,,,69953997.0,ns,3672
Mysql repo reading with redis cache layer.,,,,,72836848.0,ns,3723
Mysql repo reading with redis cache layer.,,,,,71641260.0,ns,3774
Mysql repo reading with redis cache layer.,,,,,76877476.0,ns,3825
Mysql repo reading with redis cache layer.,,,,,76114319.0,ns,3876
Mysql repo reading with redis cache layer.,,,,,84889015.0,ns,3927
Mysql repo reading with redis cache layer.,,,,,105844416.0,ns,3978
Mysql repo reading with redis cache layer.,,,,,96588324.0,ns,4029
Mysql repo reading with redis cache layer.,,,,,79435057.0,ns,4080
Mysql repo reading with redis cache layer.,,,,,80205380.0,ns,4131
Mysql repo reading with redis cache layer.,,,,,91752130.0,ns,4182
Mysql repo reading with redis cache layer.,,,,,86048738.0,ns,4233
Mysql repo reading with redis cache layer.,,,,,90134876.0,ns,4284
Mysql repo reading with redis cache layer.,,,,,83151897.0,ns,4335
Mysql repo reading with redis cache layer.,,,,,86698053.0,ns,4386
Mysql repo reading with redis cache layer.,,,,,88886115.0,ns,4437
Mysql repo reading with redis cache layer.,,,,,84992383.0,ns,4488
Mysql repo reading with redis cache layer.,,,,,97225644.0,ns,4539
Mysql repo reading with redis cache layer.,,,,,93104554.0,ns,4590
Mysql repo reading with redis cache layer.,,,,,100524086.0,ns,4641
Mysql repo reading with redis cache layer.,,,,,90423467.0,ns,4692
Mysql repo reading with redis cache layer.,,,,,96834230.0,ns,4743
Mysql repo reading with redis cache layer.,,,,,93474125.0,ns,4794
Mysql repo reading with redis cache layer.,,,,,96321766.0,ns,4845
Mysql repo reading with redis cache layer.,,,,,101136078.0,ns,4896
Mysql repo reading with redis cache layer.,,,,,95500925.0,ns,4947
Mysql repo reading with redis cache layer.,,,,,96288019.0,ns,4998
Mysql repo reading with redis cache layer.,,,,,96099014.0,ns,5049
Mysql repo reading with redis cache layer.,,,,,101751107.0,ns,5100
